MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
338888000,31/12/2020 05:29,47.74172,-88.78813,11.8,64.4,64,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 08:47,47.91106,-87.88925,12.1,116.6,115,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 09:27,47.84873,-87.71415,12.1,117.7,118,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 07:30,47.90108,-88.24176,12.1,66.9,65,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 22:49,46.46317,-84.47065,10.4,42.6,37,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 05:03,47.70719,-88.90385,11.9,66.8,66,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 10:20,47.76257,-87.48318,11.7,120.1,121,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 06:49,47.84838,-88.4272,12,66.8,65,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
338888000,31/12/2020 19:12,46.90669,-85.20138,12.3,118.3,120,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31,41,15,5.5,NA,B
